,ID,eth
781,NA18596,CHB
782,NA18609,CHB
783,NA18611,CHB
784,NA12234,CEU
785,NA18616,CHB
786,NA18623,CHB
787,NA12272,CEU
788,NA18628,CHB
789,NA18630,CHB
790,NA12342,CEU
791,NA18635,CHB
792,NA12347,CEU
793,NA18642,CHB
794,NA12400,CEU
795,NA18647,CHB
796,NA12760,CEU
797,NA11829,CEU
798,NA12777,CEU
799,NA11831,CEU
800,NA12828,CEU
801,NA11843,CEU
802,NA12830,CEU
803,NA11881,CEU
804,NA12842,CEU
805,NA11893,CEU
806,NA12873,CEU
807,NA11918,CEU
808,NA19026,LWK
809,NA11920,CEU
810,NA19038,LWK
811,NA11932,CEU
812,NA19057,JPT
813,NA11994,CEU
814,NA19064,JPT
815,NA12005,CEU
816,NA19076,JPT
817,NA19083,JPT
818,NA12889,CEU
819,NA19088,JPT
821,NA19090,JPT
822,NA18488,YRI
823,NA19095,YRI
824,NA18749,CHB
825,NA18508,YRI
827,NA18510,YRI
828,NA18522,YRI
829,NA18864,YRI
830,NA18527,CHB
831,NA18871,YRI
832,NA18876,YRI
833,NA18972,JPT
834,NA12776,CEU
835,NA18977,JPT
836,NA12815,CEU
837,NA18984,JPT
838,NA12827,CEU
839,NA18989,JPT
840,NA18991,JPT
841,NA12872,CEU
842,NA19002,JPT
843,NA12043,CEU
844,NA19007,JPT
845,NA12144,CEU
846,NA19019,LWK
847,NA12156,CEU
848,NA19153,YRI
849,NA19160,YRI
850,NA12283,CEU
851,NA19172,YRI
852,NA12341,CEU
853,NA19184,YRI
854,NA07037,CEU
855,NA19189,YRI
856,NA07051,CEU
857,NA07056,CEU
858,NA07347,CEU
859,NA19204,YRI
860,NA19209,YRI
861,NA19350,LWK
862,NA18748,CHB
863,NA19355,LWK
864,NA18856,YRI
865,NA19374,LWK
866,NA19379,LWK
867,NA18868,YRI
869,NA18870,YRI
870,NA19393,LWK
871,NA19398,LWK
872,HG04222,ITU
873,NA19401,LWK
874,HG04227,STU
875,HG04239,ITU
876,NA19437,LWK
878,HG04195,BEB
879,NA19449,LWK
880,NA19451,LWK
881,HG04210,STU
882,NA19456,LWK
883,NA19463,LWK
884,NA19037,LWK
885,NA19468,LWK
886,NA19044,LWK
888,NA19056,JPT
889,NA19475,LWK
890,NA19063,JPT
891,NA19068,JPT
892,NA19658,MXL
893,NA19070,JPT
895,NA19075,JPT
896,NA19082,JPT
897,NA19087,JPT
898,NA19684,MXL
899,NA19099,YRI
900,NA19704,ASW
901,NA19222,YRI
902,NA19711,ASW
903,NA19239,YRI
904,NA19716,MXL
905,NA19723,MXL
906,NA19309,LWK
907,NA19728,MXL
909,NA19316,LWK
910,NA19735,MXL
911,NA19323,LWK
912,NA19785,MXL
