ID,eth
NA19190,YRI
NA20287,ASW
NA20294,ASW
NA20299,ASW
NA19210,YRI
NA20314,ASW
NA19455,LWK
NA19462,LWK
NA20504,TSI
NA19467,LWK
NA20509,TSI
NA19474,LWK
NA20511,TSI
NA19652,MXL
NA20516,TSI
NA19657,MXL
NA20528,TSI
NA19664,MXL
NA20530,TSI
NA19669,MXL
NA20535,TSI
NA20542,TSI
NA19102,YRI
NA20585,TSI
NA19107,YRI
NA20756,TSI
NA19114,YRI
NA20763,TSI
NA19119,YRI
NA20768,TSI
NA19121,YRI
NA20770,TSI
NA19138,YRI
NA20775,TSI
NA20787,TSI
NA20799,TSI
NA19676,MXL
NA20802,TSI
NA20807,TSI
NA19703,ASW
NA20814,TSI
NA20819,TSI
NA19722,MXL
NA20821,TSI
NA20826,TSI
NA19734,MXL
NA20845,GIH
NA20503,TSI
NA21141,GIH
NA20508,TSI
NA20510,TSI
NA20515,TSI
NA20321,ASW
NA20522,TSI
NA20527,TSI
NA20340,ASW
NA20534,TSI
NA20539,TSI
NA20357,ASW
NA20541,TSI
NA20895,GIH
NA20589,TSI
NA20903,GIH
NA20755,TSI
NA20908,GIH
NA20910,GIH
NA19789,MXL
NA21088,GIH
NA20852,GIH
NA20864,GIH
NA19835,ASW
NA20869,GIH
NA19900,ASW
NA20871,GIH
NA21108,GIH
NA19917,ASW
NA21110,GIH
NA21115,GIH
NA20762,TSI
NA21122,GIH
NA20767,TSI
NA21127,GIH
NA20774,TSI
NA20876,GIH
NA20786,TSI
NA20883,GIH
NA20798,TSI
NA20888,GIH
NA20801,TSI
NA20890,GIH
NA20806,TSI
NA21090,GIH
NA20813,TSI
NA21095,GIH
NA20818,TSI
NA21103,GIH
NA20832,TSI
NA20274,ASW
NA20281,ASW
NA20298,ASW
NA20313,ASW
NA20318,ASW
NA20320,ASW
NA20332,ASW
NA20344,ASW
NA20351,ASW
NA20356,ASW
NA19741,MXL
NA19746,MXL
NA19758,MXL
NA19777,MXL
NA20849,GIH
NA20851,GIH
NA20856,GIH
NA20863,GIH
NA20868,GIH
NA20870,GIH
NA20894,GIH
NA20899,GIH
NA20902,GIH
NA21087,GIH
NA20875,GIH
NA20882,GIH
NA20887,GIH
NA21133,GIH
NA21114,GIH
NA21119,GIH
NA21121,GIH
NA21126,GIH
NA21094,GIH
NA21099,GIH
NA21102,GIH
NA21107,GIH
HG00104,GBR
HG00109,GBR
HG00111,GBR
HG00116,GBR
HG00123,GBR
HG00128,GBR
HG00130,GBR
HG00135,GBR
HG00142,GBR
HG00147,GBR
HG00154,GBR
HG00159,GBR
HG00173,FIN
HG00178,FIN
HG00152,GBR
HG00180,FIN
HG00157,GBR
HG00185,FIN
HG00171,FIN
HG00231,GBR
HG00176,FIN
HG00236,GBR
HG00183,FIN
HG00243,GBR
HG00188,FIN
HG00318,FIN
HG00190,FIN
HG00320,FIN
HG00234,GBR
HG00325,FIN
HG00239,GBR
HG00332,FIN
HG00246,GBR
HG00337,FIN
HG00253,GBR
HG00344,FIN
HG00258,GBR
HG00349,FIN
HG00260,GBR
HG00351,FIN
HG00265,GBR
HG00356,FIN
HG00272,FIN
HG00368,FIN
HG00277,FIN
HG00375,FIN
HG00284,FIN
HG00382,FIN
HG00479,CHS
HG00407,CHS
HG00501,CHS
HG00419,CHS
HG00513,CHS
HG00421,CHS
HG00525,CHS
HG00553,PUR
HG00537,CHS
HG00560,CHS
HG00565,CHS
HG00551,PUR
HG00577,CHS
HG00556,CHS
HG00584,CHS
HG00589,CHS
HG00099,GBR
HG00102,GBR
HG00596,CHS
HG00107,GBR
HG00114,GBR
HG00611,CHS
HG00119,GBR
HG00121,GBR
HG00250,GBR
HG00126,GBR
HG00255,GBR
HG00133,GBR
HG00262,GBR
HG00138,GBR
HG00267,FIN
HG00140,GBR
HG00274,FIN
HG00145,GBR
HG00281,FIN
HG00304,FIN
HG00306,FIN
HG00309,FIN
HG00313,FIN
HG00311,FIN
HG00323,FIN
HG00445,CHS
HG00328,FIN
HG00452,CHS
HG00330,FIN
HG00457,CHS
HG00335,FIN
HG00464,CHS
HG00342,FIN
HG00476,CHS
HG00359,FIN
HG00534,CHS
HG00361,FIN
HG00096,GBR
HG00366,FIN
HG00729,CHS
HG00373,FIN
HG00731,PUR
HG00378,FIN
HG00736,PUR
HG00380,FIN
HG00743,PUR
HG00844,CDX
HG00599,CHS
HG00851,CDX
HG00607,CHS
HG00983,CDX
HG00614,CHS
HG01082,PUR
HG00619,CHS
HG01094,PUR
HG00626,CHS
HG01102,PUR
HG01107,PUR
HG00436,CHS
HG01119,CLM
HG00443,CHS
HG01121,CLM
HG00448,CHS
HG01133,CLM
HG00638,PUR
HG01140,CLM
HG00640,PUR
HG01164,PUR
HG00657,CHS
HG01171,PUR
HG01176,PUR
HG00671,CHS
HG01183,PUR
HG01188,PUR
HG00683,CHS
HG01190,PUR
HG00690,CHS
HG00623,CHS
HG01326,PUR
HG00628,CHS
HG01345,CLM
HG00635,CHS
HG01357,CLM
HG00654,CHS
HG01369,CLM
HG01195,PUR
HG01241,PUR
HG01112,CLM
HG01253,CLM
HG01124,CLM
HG01131,CLM
HG01260,CLM
HG01136,CLM
HG01272,CLM
HG01148,CLM
HG01277,CLM
HG01354,CLM
HG01162,PUR
HG01359,CLM
HG01167,PUR
HG01066,PUR
HG01366,CLM
HG01073,PUR
HG01378,CLM
HG01080,PUR
HG01085,PUR
HG01392,PUR
HG01092,PUR
HG01049,PUR
HG01097,PUR
HG01051,PUR
HG01105,PUR
HG01063,PUR
HG01174,PUR
HG01198,PUR
HG01070,PUR
HG01075,PUR
HG01251,CLM
HG01256,CLM
HG00692,CHS
HG00708,CHS
HG00705,CHS
HG00734,PUR
HG00717,CHS
HG00739,PUR
HG01284,CLM
HG01311,PUR
HG00866,CDX
HG01323,PUR
HG01028,CDX
HG01342,CLM
HG01047,PUR
HG01347,CLM
HG01054,PUR
HG01599,KHV
HG01061,PUR
HG01602,IBS
HG01383,CLM
HG01607,IBS
HG01390,CLM
HG01395,PUR
HG01619,IBS
HG01403,PUR
HG01626,IBS
HG01275,CLM
HG01486,CLM
HG01302,PUR
HG01504,IBS
HG01498,CLM
HG01509,IBS
HG01501,IBS
HG01506,IBS
HG01516,IBS
HG01513,IBS
HG01518,IBS
HG01528,IBS
HG01597,KHV
HG01525,IBS
HG01600,KHV
HG01605,IBS
HG01537,IBS
HG01612,IBS
HG01530,IBS
HG01405,PUR
HG01566,PEL
HG01412,PUR
HG01431,CLM
HG01578,PEL
HG01443,CLM
HG01617,IBS
HG01455,CLM
HG01624,IBS
HG01462,CLM
HG01474,CLM
HG01631,IBS
HG01479,CLM
HG01551,CLM
HG01477,CLM
HG01556,CLM
HG01489,CLM
HG01491,CLM
HG01669,IBS
HG01679,IBS
HG01676,IBS
HG01686,IBS
HG01695,IBS
HG01708,IBS
HG01768,IBS
HG01710,IBS
HG01770,IBS
HG01746,IBS
HG01775,IBS
HG01765,IBS
HG01441,CLM
HG02009,ACB
HG01453,CLM
HG01465,CLM
HG02016,KHV
HG02023,KHV
HG01756,IBS
HG01777,IBS
HG01784,IBS
HG01789,GBR
HG01953,PEL
HG01791,GBR
HG01958,ACB
HG01796,CDX
HG01974,PEL
HG01965,PEL
HG01979,PEL
HG01977,PEL
HG01986,ACB
HG01989,ACB
HG01892,PEL
HG01927,PEL
HG01912,ACB
HG01917,PEL
HG01939,PEL
HG01924,PEL
HG01941,PEL
HG01866,KHV
HG01864,KHV
HG01873,KHV
HG01869,KHV
HG01878,KHV
HG01871,KHV
HG01880,ACB
HG01883,ACB
HG01885,ACB
HG02019,KHV
HG01948,PEL
HG01950,PEL
HG02026,KHV
HG00153,GBR
HG02040,KHV
HG00158,GBR
HG01967,PEL
HG00160,GBR
HG01936,PEL
HG01890,ACB
HG00177,FIN
HG00189,FIN
HG01842,KHV
HG01915,ACB
HG00235,GBR
HG01847,KHV
HG01991,PEL
HG00242,GBR
HG01859,KHV
HG02002,PEL
HG00247,GBR
HG01861,KHV
HG02014,ACB
HG00254,GBR
HG01804,CDX
HG01840,KHV
HG00259,GBR
HG01809,CDX
HG01845,KHV
HG00261,GBR
HG01811,CDX
HG01852,KHV
HG00266,FIN
HG01816,CDX
HG01857,KHV
HG00273,FIN
HG02282,ACB
HG01794,CDX
HG00278,FIN
HG01799,CDX
HG00280,FIN
HG02299,PEL
HG01802,CDX
HG00285,FIN
HG01807,CDX
HG00103,GBR
HG02307,ACB
HG02076,KHV
HG00108,GBR
HG02143,ACB
HG00110,GBR
HG02088,KHV
HG00115,GBR
HG02150,PEL
HG02090,PEL
HG00122,GBR
HG02155,CDX
HG02095,ACB
HG00127,GBR
HG02028,KHV
HG02278,PEL
HG00134,GBR
HG00139,GBR
HG02035,KHV
HG02285,PEL
HG00141,GBR
HG02047,KHV
HG02292,PEL
HG00146,GBR
HG02054,ACB
HG00312,FIN
HG02139,KHV
HG00324,FIN
HG02061,KHV
HG02141,KHV
HG00329,FIN
HG02073,KHV
HG02146,PEL
HG00331,FIN
HG02078,KHV
HG02153,CDX
HG00336,FIN
HG02179,CDX
HG02052,ACB
HG00343,FIN
HG02181,CDX
HG02057,KHV
HG00350,FIN
HG02186,CDX
HG02064,KHV
HG00355,FIN
HG02218,IBS
HG02069,KHV
HG00362,FIN
HG02220,IBS
HG00367,FIN
HG00475,CHS
HG02085,KHV
HG02259,PEL
HG02105,PEL
HG02266,PEL
HG02131,KHV
HG00533,CHS
HG02136,KHV
HG02108,ACB
HG02122,KHV
HG02232,IBS
HG02127,KHV
HG00557,CHS
HG02134,KHV
HG00583,CHS
HG02256,ACB
HG02312,PEL
HG00379,FIN
HG02275,PEL
HG02317,ACB
HG00381,FIN
HG02343,ACB
HG00406,CHS
HG02223,IBS
HG00418,CHS
HG02624,GWD
HG02230,IBS
HG02629,GWD
HG02235,IBS
HG00437,CHS
HG02165,CDX
HG02643,GWD
HG02184,CDX
HG00449,CHS
HG02648,PJL
HG02189,CDX
HG00451,CHS
HG00463,CHS
HG02655,PJL
HG02691,PJL
HG02696,PJL
HG00641,PUR
HG02561,GWD
HG00653,CHS
HG02573,GWD
HG02716,GWD
HG02580,ACB
HG00672,CHS
HG02585,GWD
HG02728,PJL
HG00684,CHS
HG02597,PJL
HG02603,PJL
HG00689,CHS
HG02600,PJL
HG02610,GWD
HG00867,CDX
HG02667,GWD
HG00879,CDX
HG02679,GWD
HG02634,GWD
HG00881,CDX
HG02681,PJL
HG02646,GWD
HG00956,CDX
HG02557,ACB
HG00982,CDX
